date,currExpiry,nextExpiry
03-01-2022,BANKNIFTY22106,BANKNIFTY22113
04-01-2022,BANKNIFTY22106,BANKNIFTY22113
05-01-2022,BANKNIFTY22106,BANKNIFTY22113
06-01-2022,BANKNIFTY22106,BANKNIFTY22113
07-01-2022,BANKNIFTY22113,BANKNIFTY22120
10-01-2022,BANKNIFTY22113,BANKNIFTY22120
11-01-2022,BANKNIFTY22113,BANKNIFTY22120
12-01-2022,BANKNIFTY22113,BANKNIFTY22120
13-01-2022,BANKNIFTY22113,BANKNIFTY22120
14-01-2022,BANKNIFTY22120,BANKNIFTY22JAN
17-01-2022,BANKNIFTY22120,BANKNIFTY22JAN
18-01-2022,BANKNIFTY22120,BANKNIFTY22JAN
19-01-2022,BANKNIFTY22120,BANKNIFTY22JAN
20-01-2022,BANKNIFTY22120,BANKNIFTY22JAN
21-01-2022,BANKNIFTY22JAN,BANKNIFTY22203
24-01-2022,BANKNIFTY22JAN,BANKNIFTY22203
25-01-2022,BANKNIFTY22JAN,BANKNIFTY22203
27-01-2022,BANKNIFTY22JAN,BANKNIFTY22203
28-01-2022,BANKNIFTY22203,BANKNIFTY22210
31-01-2022,BANKNIFTY22203,BANKNIFTY22210
01-02-2022,BANKNIFTY22203,BANKNIFTY22210
02-02-2022,BANKNIFTY22203,BANKNIFTY22210
03-02-2022,BANKNIFTY22203,BANKNIFTY22210
04-02-2022,BANKNIFTY22210,BANKNIFTY22217
07-02-2022,BANKNIFTY22210,BANKNIFTY22217
08-02-2022,BANKNIFTY22210,BANKNIFTY22217
09-02-2022,BANKNIFTY22210,BANKNIFTY22217
10-02-2022,BANKNIFTY22210,BANKNIFTY22217
11-02-2022,BANKNIFTY22217,BANKNIFTY22FEB
14-02-2022,BANKNIFTY22217,BANKNIFTY22FEB
15-02-2022,BANKNIFTY22217,BANKNIFTY22FEB
16-02-2022,BANKNIFTY22217,BANKNIFTY22FEB
17-02-2022,BANKNIFTY22217,BANKNIFTY22FEB
18-02-2022,BANKNIFTY22FEB,BANKNIFTY22303
21-02-2022,BANKNIFTY22FEB,BANKNIFTY22303
22-02-2022,BANKNIFTY22FEB,BANKNIFTY22303
23-02-2022,BANKNIFTY22FEB,BANKNIFTY22303
24-02-2022,BANKNIFTY22FEB,BANKNIFTY22303
25-02-2022,BANKNIFTY22303,BANKNIFTY22310
28-02-2022,BANKNIFTY22303,BANKNIFTY22310
02-03-2022,BANKNIFTY22303,BANKNIFTY22310
03-03-2022,BANKNIFTY22303,BANKNIFTY22310
04-03-2022,BANKNIFTY22310,BANKNIFTY22317
07-03-2022,BANKNIFTY22310,BANKNIFTY22317
08-03-2022,BANKNIFTY22310,BANKNIFTY22317
09-03-2022,BANKNIFTY22310,BANKNIFTY22317
10-03-2022,BANKNIFTY22310,BANKNIFTY22317
11-03-2022,BANKNIFTY22317,BANKNIFTY22324
14-03-2022,BANKNIFTY22317,BANKNIFTY22324
15-03-2022,BANKNIFTY22317,BANKNIFTY22324
16-03-2022,BANKNIFTY22317,BANKNIFTY22324
17-03-2022,BANKNIFTY22317,BANKNIFTY22324
21-03-2022,BANKNIFTY22324,BANKNIFTY22MAR
