date,currExpiry,nextExpiry
2021-01-01,BANKNIFTY21107,BANKNIFTY21114
2021-01-04,BANKNIFTY21107,BANKNIFTY21114
2021-01-05,BANKNIFTY21107,BANKNIFTY21114
2021-01-06,BANKNIFTY21107,BANKNIFTY21114
2021-01-07,BANKNIFTY21107,BANKNIFTY21114
2021-01-08,BANKNIFTY21114,BANKNIFTY21121
2021-01-11,BANKNIFTY21114,BANKNIFTY21121
2021-01-12,BANKNIFTY21114,BANKNIFTY21121
2021-01-13,BANKNIFTY21114,BANKNIFTY21121
2021-01-14,BANKNIFTY21114,BANKNIFTY21121
2021-01-15,BANKNIFTY21121,BANKNIFTY21JAN
2021-01-18,BANKNIFTY21121,BANKNIFTY21JAN
2021-01-19,BANKNIFTY21121,BANKNIFTY21JAN
2021-01-20,BANKNIFTY21121,BANKNIFTY21JAN
2021-01-21,BANKNIFTY21121,BANKNIFTY21JAN
2021-01-22,BANKNIFTY21JAN,BANKNIFTY21204
2021-01-25,BANKNIFTY21JAN,BANKNIFTY21204
2021-01-27,BANKNIFTY21JAN,BANKNIFTY21204
2021-01-28,BANKNIFTY21JAN,BANKNIFTY21204
2021-01-29,BANKNIFTY21204,BANKNIFTY21211
2021-02-01,BANKNIFTY21204,BANKNIFTY21211
2021-02-02,BANKNIFTY21204,BANKNIFTY21211
2021-02-03,BANKNIFTY21204,BANKNIFTY21211
2021-02-04,BANKNIFTY21204,BANKNIFTY21211
2021-02-05,BANKNIFTY21211,BANKNIFTY21218
2021-02-08,BANKNIFTY21211,BANKNIFTY21218
2021-02-09,BANKNIFTY21211,BANKNIFTY21218
2021-02-10,BANKNIFTY21211,BANKNIFTY21218
2021-02-11,BANKNIFTY21211,BANKNIFTY21218
2021-02-12,BANKNIFTY21218,BANKNIFTY21FEB
2021-02-15,BANKNIFTY21218,BANKNIFTY21FEB
2021-02-16,BANKNIFTY21218,BANKNIFTY21FEB
2021-02-17,BANKNIFTY21218,BANKNIFTY21FEB
2021-02-18,BANKNIFTY21218,BANKNIFTY21FEB
2021-02-19,BANKNIFTY21FEB,BANKNIFTY21304
2021-02-22,BANKNIFTY21FEB,BANKNIFTY21304
2021-02-23,BANKNIFTY21FEB,BANKNIFTY21304
2021-02-24,BANKNIFTY21FEB,BANKNIFTY21304
2021-02-25,BANKNIFTY21FEB,BANKNIFTY21304
2021-02-26,BANKNIFTY21304,BANKNIFTY21310
2021-03-01,BANKNIFTY21304,BANKNIFTY21310
2021-03-02,BANKNIFTY21304,BANKNIFTY21310
2021-03-03,BANKNIFTY21304,BANKNIFTY21310
2021-03-04,BANKNIFTY21304,BANKNIFTY21310
2021-03-05,BANKNIFTY21310,BANKNIFTY21318
2021-03-08,BANKNIFTY21310,BANKNIFTY21318
2021-03-09,BANKNIFTY21310,BANKNIFTY21318
2021-03-10,BANKNIFTY21310,BANKNIFTY21318
2021-03-12,BANKNIFTY21318,BANKNIFTY21MAR
2021-03-15,BANKNIFTY21318,BANKNIFTY21MAR
2021-03-16,BANKNIFTY21318,BANKNIFTY21MAR
2021-03-17,BANKNIFTY21318,BANKNIFTY21MAR
2021-03-18,BANKNIFTY21318,BANKNIFTY21MAR
2021-03-19,BANKNIFTY21MAR,BANKNIFTY21401
2021-03-22,BANKNIFTY21MAR,BANKNIFTY21401
2021-03-23,BANKNIFTY21MAR,BANKNIFTY21401
2021-03-24,BANKNIFTY21MAR,BANKNIFTY21401
2021-03-25,BANKNIFTY21MAR,BANKNIFTY21401
2021-03-26,BANKNIFTY21401,BANKNIFTY21408
2021-03-30,BANKNIFTY21401,BANKNIFTY21408
2021-03-31,BANKNIFTY21401,BANKNIFTY21408
2021-04-01,BANKNIFTY21401,BANKNIFTY21408
2021-04-05,BANKNIFTY21408,BANKNIFTY21415
2021-04-06,BANKNIFTY21408,BANKNIFTY21415
2021-04-07,BANKNIFTY21408,BANKNIFTY21415
2021-04-08,BANKNIFTY21408,BANKNIFTY21415
2021-04-09,BANKNIFTY21415,BANKNIFTY21422
2021-04-12,BANKNIFTY21415,BANKNIFTY21422
2021-04-13,BANKNIFTY21415,BANKNIFTY21422
2021-04-15,BANKNIFTY21415,BANKNIFTY21422
2021-04-16,BANKNIFTY21422,BANKNIFTY21APR
2021-04-19,BANKNIFTY21422,BANKNIFTY21APR
2021-04-20,BANKNIFTY21422,BANKNIFTY21APR
2021-04-22,BANKNIFTY21422,BANKNIFTY21APR
