instrument_token,tradingsymbol
14024450,NIFTY22JAN15100CE
14024706,NIFTY22JAN15100PE
14025474,NIFTY22JAN15200CE
14025730,NIFTY22JAN15200PE
14026498,NIFTY22JAN15300CE
14026754,NIFTY22JAN15300PE
11906562,NIFTY22JAN15400CE
11906818,NIFTY22JAN15400PE
11233538,NIFTY22JAN15500CE
11235074,NIFTY22JAN15500PE
9253634,NIFTY22JAN15600CE
9253890,NIFTY22JAN15600PE
9255170,NIFTY22JAN15700CE
9255426,NIFTY22JAN15700PE
9256706,NIFTY22JAN15800CE
9256962,NIFTY22JAN15800PE
12771586,NIFTY22JAN15900CE
12771842,NIFTY22JAN15900PE
12772610,NIFTY22JAN16000CE
12772866,NIFTY22JAN16000PE
12773634,NIFTY22JAN16100CE
12773890,NIFTY22JAN16100PE
8990210,NIFTY22JAN16200CE
8990466,NIFTY22JAN16200PE
8991490,NIFTY22JAN16300CE
8992514,NIFTY22JAN16300PE
17473794,NIFTY22JAN16400CE
17474050,NIFTY22JAN16400PE
17476866,NIFTY22JAN16500CE
17484034,NIFTY22JAN16500PE
17488130,NIFTY22JAN16600CE
17488386,NIFTY22JAN16600PE
17489154,NIFTY22JAN16700CE
17489410,NIFTY22JAN16700PE
17490178,NIFTY22JAN16800CE
17490434,NIFTY22JAN16800PE
17492482,NIFTY22JAN16900CE
17492738,NIFTY22JAN16900PE
17494018,NIFTY22JAN17000CE
17494274,NIFTY22JAN17000PE
17502722,NIFTY22JAN17100CE
17502978,NIFTY22JAN17100PE
17506818,NIFTY22JAN17200CE
17507074,NIFTY22JAN17200PE
17513474,NIFTY22JAN17300CE
17513730,NIFTY22JAN17300PE
17514498,NIFTY22JAN17400CE
17514754,NIFTY22JAN17400PE
17515522,NIFTY22JAN17500CE
17526018,NIFTY22JAN17500PE
17528322,NIFTY22JAN17600CE
17528578,NIFTY22JAN17600PE
17529346,NIFTY22JAN17700CE
17529602,NIFTY22JAN17700PE
17530370,NIFTY22JAN17800CE
17530626,NIFTY22JAN17800PE
17531394,NIFTY22JAN17900CE
17531650,NIFTY22JAN17900PE
17532418,NIFTY22JAN18000CE
17532674,NIFTY22JAN18000PE
17533442,NIFTY22JAN18100CE
17533698,NIFTY22JAN18100PE
