date,currExpiry,nextExpiry
2022-01-03,NIFTY22106,NIFTY22113
2022-01-04,NIFTY22106,NIFTY22113
2022-01-05,NIFTY22106,NIFTY22113
2022-01-06,NIFTY22106,NIFTY22113
2022-01-07,NIFTY22113,NIFTY22120
2022-01-10,NIFTY22113,NIFTY22120
2022-01-11,NIFTY22113,NIFTY22120
2022-01-12,NIFTY22113,NIFTY22120
2022-01-13,NIFTY22113,NIFTY22120
2022-01-14,NIFTY22120,NIFTY22JAN
2022-01-17,NIFTY22120,NIFTY22JAN
2022-01-18,NIFTY22120,NIFTY22JAN
2022-01-19,NIFTY22120,NIFTY22JAN
2022-01-20,NIFTY22120,NIFTY22JAN
2022-01-21,NIFTY22JAN,NIFTY22203
2022-01-24,NIFTY22JAN,NIFTY22203
2022-01-25,NIFTY22JAN,NIFTY22203
2022-01-27,NIFTY22JAN,NIFTY22203
2022-01-28,NIFTY22203,NIFTY22210
2022-01-31,NIFTY22203,NIFTY22210
2022-02-01,NIFTY22203,NIFTY22210
2022-02-02,NIFTY22203,NIFTY22210
2022-02-03,NIFTY22203,NIFTY22210
2022-02-04,NIFTY22210,NIFTY22217
2022-02-07,NIFTY22210,NIFTY22217
2022-02-08,NIFTY22210,NIFTY22217
2022-02-09,NIFTY22210,NIFTY22217
2022-02-10,NIFTY22210,NIFTY22217
2022-02-11,NIFTY22217,NIFTY22FEB
2022-02-14,NIFTY22217,NIFTY22FEB
2022-02-15,NIFTY22217,NIFTY22FEB
2022-02-16,NIFTY22217,NIFTY22FEB
2022-02-17,NIFTY22217,NIFTY22FEB
2022-02-18,NIFTY22FEB,NIFTY22303
2022-02-21,NIFTY22FEB,NIFTY22303
2022-02-22,NIFTY22FEB,NIFTY22303
2022-02-23,NIFTY22FEB,NIFTY22303
2022-02-24,NIFTY22FEB,NIFTY22303
2022-02-25,NIFTY22303,NIFTY22310
2022-02-28,NIFTY22303,NIFTY22310
2022-03-02,NIFTY22303,NIFTY22310
2022-03-03,NIFTY22303,NIFTY22310
2022-03-04,NIFTY22310,NIFTY22317
2022-03-07,NIFTY22310,NIFTY22317
2022-03-08,NIFTY22310,NIFTY22317
2022-03-09,NIFTY22310,NIFTY22317
2022-03-10,NIFTY22310,NIFTY22317
2022-03-11,NIFTY22317,NIFTY22324
2022-03-14,NIFTY22317,NIFTY22324
2022-03-15,NIFTY22317,NIFTY22324
2022-03-16,NIFTY22317,NIFTY22324
2022-03-17,NIFTY22317,NIFTY22324
2022-03-21,NIFTY22324,NIFTY22MAR
2022-03-22,NIFTY22324,NIFTY22MAR
2022-03-23,NIFTY22324,NIFTY22MAR
2022-03-24,NIFTY22324,NIFTY22MAR
2022-03-25,NIFTY22MAR,NIFTY22407
2022-03-28,NIFTY22MAR,NIFTY22407
2022-03-29,NIFTY22MAR,NIFTY22407
2022-03-30,NIFTY22MAR,NIFTY22407
2022-03-31,NIFTY22MAR,NIFTY22407
2022-04-01,NIFTY22407,NIFTY22413
2022-04-04,NIFTY22407,NIFTY22413
2022-04-05,NIFTY22407,NIFTY22413
2022-04-06,NIFTY22407,NIFTY22413
2022-04-07,NIFTY22407,NIFTY22413
2022-04-08,NIFTY22413,NIFTY22421
2022-04-11,NIFTY22413,NIFTY22421
2022-04-12,NIFTY22413,NIFTY22421
2022-04-13,NIFTY22413,NIFTY22421
2022-04-18,NIFTY22421,NIFTY22APR
2022-04-19,NIFTY22421,NIFTY22APR
2022-04-20,NIFTY22421,NIFTY22APR
2022-04-21,NIFTY22421,NIFTY22APR
2022-04-22,NIFTY22APR,NIFTY22505
2022-04-25,NIFTY22APR,NIFTY22505
2022-04-26,NIFTY22APR,NIFTY22505
2022-04-27,NIFTY22APR,NIFTY22505
2022-04-28,NIFTY22APR,NIFTY22505
2022-04-29,NIFTY22505,NIFTY22512
2022-05-02,NIFTY22505,NIFTY22512
2022-05-04,NIFTY22505,NIFTY22512
2022-05-05,NIFTY22505,NIFTY22512
2022-05-06,NIFTY22512,NIFTY22519
2022-05-09,NIFTY22512,NIFTY22519
2022-05-10,NIFTY22512,NIFTY22519
2022-05-11,NIFTY22512,NIFTY22519
2022-05-12,NIFTY22512,NIFTY22519
2022-05-13,NIFTY22519,NIFTY22MAY
2022-05-16,NIFTY22519,NIFTY22MAY
2022-05-17,NIFTY22519,NIFTY22MAY
2022-05-18,NIFTY22519,NIFTY22MAY
2022-05-19,NIFTY22519,NIFTY22MAY
2022-05-20,NIFTY22MAY,NIFTY22602
2022-05-23,NIFTY22MAY,NIFTY22602
2022-05-24,NIFTY22MAY,NIFTY22602
2022-05-25,NIFTY22MAY,NIFTY22602
2022-05-26,NIFTY22MAY,NIFTY22602
2022-05-27,NIFTY22602,NIFTY22609
2022-05-30,NIFTY22602,NIFTY22609
2022-05-31,NIFTY22602,NIFTY22609
2022-06-01,NIFTY22602,NIFTY22609
2022-06-02,NIFTY22602,NIFTY22609
2022-06-03,NIFTY22609,NIFTY22616
2022-06-06,NIFTY22609,NIFTY22616
2022-06-07,NIFTY22609,NIFTY22616
2022-06-08,NIFTY22609,NIFTY22616
2022-06-09,NIFTY22609,NIFTY22616
2022-06-10,NIFTY22616,NIFTY22623
2022-06-13,NIFTY22616,NIFTY22623
2022-06-14,NIFTY22616,NIFTY22623
2022-06-15,NIFTY22616,NIFTY22623
2022-06-16,NIFTY22616,NIFTY22623
2022-06-17,NIFTY22623,NIFTY22JUN
2022-06-20,NIFTY22623,NIFTY22JUN
2022-06-21,NIFTY22623,NIFTY22JUN
2022-06-22,NIFTY22623,NIFTY22JUN
2022-06-23,NIFTY22623,NIFTY22JUN
2022-06-24,NIFTY22JUN,NIFTY22707
2022-06-27,NIFTY22JUN,NIFTY22707
2022-06-28,NIFTY22JUN,NIFTY22707
2022-06-29,NIFTY22JUN,NIFTY22707
