date,currExpiry,nextExpiry
2021-01-01,NIFTY21107,NIFTY21114
2021-01-04,NIFTY21107,NIFTY21114
2021-01-05,NIFTY21107,NIFTY21114
2021-01-06,NIFTY21107,NIFTY21114
2021-01-07,NIFTY21107,NIFTY21114
2021-01-08,NIFTY21114,NIFTY21121
2021-01-11,NIFTY21114,NIFTY21121
2021-01-12,NIFTY21114,NIFTY21121
2021-01-13,NIFTY21114,NIFTY21121
2021-01-14,NIFTY21114,NIFTY21121
2021-01-15,NIFTY21121,NIFTY21JAN
2021-01-18,NIFTY21121,NIFTY21JAN
2021-01-19,NIFTY21121,NIFTY21JAN
2021-01-20,NIFTY21121,NIFTY21JAN
2021-01-21,NIFTY21121,NIFTY21JAN
2021-01-22,NIFTY21JAN,NIFTY21204
2021-01-25,NIFTY21JAN,NIFTY21204
2021-01-27,NIFTY21JAN,NIFTY21204
2021-01-28,NIFTY21JAN,NIFTY21204
2021-01-29,NIFTY21204,NIFTY21211
2021-02-01,NIFTY21204,NIFTY21211
2021-02-02,NIFTY21204,NIFTY21211
2021-02-03,NIFTY21204,NIFTY21211
2021-02-04,NIFTY21204,NIFTY21211
2021-02-05,NIFTY21211,NIFTY21218
2021-02-08,NIFTY21211,NIFTY21218
2021-02-09,NIFTY21211,NIFTY21218
2021-02-10,NIFTY21211,NIFTY21218
2021-02-11,NIFTY21211,NIFTY21218
2021-02-12,NIFTY21218,NIFTY21FEB
2021-02-15,NIFTY21218,NIFTY21FEB
2021-02-16,NIFTY21218,NIFTY21FEB
2021-02-17,NIFTY21218,NIFTY21FEB
2021-02-18,NIFTY21218,NIFTY21FEB
2021-02-19,NIFTY21FEB,NIFTY21304
2021-02-22,NIFTY21FEB,NIFTY21304
2021-02-23,NIFTY21FEB,NIFTY21304
2021-02-24,NIFTY21FEB,NIFTY21304
2021-02-25,NIFTY21FEB,NIFTY21304
2021-02-26,NIFTY21304,NIFTY21310
2021-03-01,NIFTY21304,NIFTY21310
2021-03-02,NIFTY21304,NIFTY21310
2021-03-03,NIFTY21304,NIFTY21310
2021-03-04,NIFTY21304,NIFTY21310
2021-03-05,NIFTY21310,NIFTY21318
2021-03-08,NIFTY21310,NIFTY21318
2021-03-09,NIFTY21310,NIFTY21318
2021-03-10,NIFTY21310,NIFTY21318
2021-03-12,NIFTY21318,NIFTY21MAR
2021-03-15,NIFTY21318,NIFTY21MAR
2021-03-16,NIFTY21318,NIFTY21MAR
2021-03-17,NIFTY21318,NIFTY21MAR
2021-03-18,NIFTY21318,NIFTY21MAR
2021-03-19,NIFTY21MAR,NIFTY21401
2021-03-22,NIFTY21MAR,NIFTY21401
2021-03-23,NIFTY21MAR,NIFTY21401
2021-03-24,NIFTY21MAR,NIFTY21401
2021-03-25,NIFTY21MAR,NIFTY21401
2021-03-26,NIFTY21401,NIFTY21408
2021-03-30,NIFTY21401,NIFTY21408
2021-03-31,NIFTY21401,NIFTY21408
2021-04-01,NIFTY21401,NIFTY21408
2021-04-05,NIFTY21408,NIFTY21415
2021-04-06,NIFTY21408,NIFTY21415
2021-04-07,NIFTY21408,NIFTY21415
2021-04-08,NIFTY21408,NIFTY21415
2021-04-09,NIFTY21415,NIFTY21422
2021-04-12,NIFTY21415,NIFTY21422
2021-04-13,NIFTY21415,NIFTY21422
2021-04-15,NIFTY21415,NIFTY21422
2021-04-16,NIFTY21422,NIFTY21APR
2021-04-19,NIFTY21422,NIFTY21APR
2021-04-20,NIFTY21422,NIFTY21APR
2021-04-22,NIFTY21422,NIFTY21APR
2021-04-23,NIFTY21APR,NIFTY21506
2021-04-26,NIFTY21APR,NIFTY21506
2021-04-27,NIFTY21APR,NIFTY21506
2021-04-28,NIFTY21APR,NIFTY21506
2021-04-29,NIFTY21APR,NIFTY21506
2021-04-30,NIFTY21506,NIFTY21512
2021-05-03,NIFTY21506,NIFTY21512
2021-05-04,NIFTY21506,NIFTY21512
2021-05-05,NIFTY21506,NIFTY21512
2021-05-06,NIFTY21506,NIFTY21512
2021-05-07,NIFTY21512,NIFTY21520
2021-05-10,NIFTY21512,NIFTY21520
2021-05-11,NIFTY21512,NIFTY21520
2021-05-12,NIFTY21512,NIFTY21520
2021-05-14,NIFTY21520,NIFTY21MAY
2021-05-17,NIFTY21520,NIFTY21MAY
2021-05-18,NIFTY21520,NIFTY21MAY
2021-05-19,NIFTY21520,NIFTY21MAY
2021-05-20,NIFTY21520,NIFTY21MAY
2021-05-21,NIFTY21MAY,NIFTY21603
2021-05-24,NIFTY21MAY,NIFTY21603
2021-05-25,NIFTY21MAY,NIFTY21603
2021-05-26,NIFTY21MAY,NIFTY21603
2021-05-27,NIFTY21MAY,NIFTY21603
2021-05-28,NIFTY21603,NIFTY21610
2021-05-31,NIFTY21603,NIFTY21610
2021-06-01,NIFTY21603,NIFTY21610
2021-06-02,NIFTY21603,NIFTY21610
2021-06-03,NIFTY21603,NIFTY21610
2021-06-04,NIFTY21610,NIFTY21617
2021-06-07,NIFTY21610,NIFTY21617
2021-06-08,NIFTY21610,NIFTY21617
2021-06-09,NIFTY21610,NIFTY21617
2021-06-10,NIFTY21610,NIFTY21617
2021-06-11,NIFTY21617,NIFTY21JUN
2021-06-14,NIFTY21617,NIFTY21JUN
2021-06-15,NIFTY21617,NIFTY21JUN
2021-06-16,NIFTY21617,NIFTY21JUN
2021-06-17,NIFTY21617,NIFTY21JUN
2021-06-18,NIFTY21JUN,NIFTY21701
2021-06-21,NIFTY21JUN,NIFTY21701
2021-06-22,NIFTY21JUN,NIFTY21701
2021-06-23,NIFTY21JUN,NIFTY21701
2021-06-24,NIFTY21JUN,NIFTY21701
2021-06-25,NIFTY21701,NIFTY21708
2021-06-28,NIFTY21701,NIFTY21708
2021-06-29,NIFTY21701,NIFTY21708
2021-06-30,NIFTY21701,NIFTY21708
2021-07-01,NIFTY21701,NIFTY21708
2021-07-02,NIFTY21708,NIFTY21715
2021-07-05,NIFTY21708,NIFTY21715
