Symbol,TableName
360ONE,IIFLWAM
3MINDIA,3MINDIA
AARTIDRUGS,AARTIDRUGS
AARTIIND,AARTIIND
AAVAS,AAVAS
ABB,ABB
ABBOTINDIA,ABBOTINDIA
ABCAPITAL,ABCAPITAL
ABFRL,ABFRL
ACC,ACC
ACI,ACI
ADANIENSOL,ADANITRANS
ADANIENT,ADANIENT
ADANIGREEN,ADANIGREEN
ADANIPORTS,ADANIPORTS
ADANIPOWER,ADANIPOWER
ADVENZYMES,ADVENZYMES
AEGISCHEM,AEGISCHEM
AETHER,AETHER
AFFLE,AFFLE
AIAENG,AIAENG
AJANTPHARM,AJANTPHARM
AKZOINDIA,AKZOINDIA
ALEMBICLTD,ALEMBICLTD
ALKEM,ALKEM
ALKYLAMINE,ALKYLAMINE
ALLCARGO,ALLCARGO
ALOKINDS-BE,ALOKINDS
AMBER,AMBER
AMBUJACEM,AMBUJACEM
ANGELONE,ANGELONE
ANURAS,ANURAS
APARINDS,APARINDS
APLAPOLLO,APLAPOLLO
APLLTD,APLLTD
APOLLOHOSP,APOLLOHOSP
APOLLOTYRE,APOLLOTYRE
APTUS,APTUS
ARE&M,AMARAJABAT
ASAHIINDIA,ASAHIINDIA
ASHOKA,ASHOKA
ASHOKLEY,ASHOKLEY
ASIANPAINT,ASIANPAINT
ASTERDM,ASTERDM
ASTRAL,ASTRAL
ASTRAZEN,ASTRAZEN
ATGL,ADANIGAS
ATUL,ATUL
AUBANK,AUBANK
AUROPHARMA,AUROPHARMA
AVANTIFEED,AVANTIFEED
AWL,AWL
AXISBANK,AXISBANK
BAJAJ-AUTO,BAJAJ_AUTO
BAJAJCON,BAJAJCON
BAJAJELEC,BAJAJELEC
BAJAJFINSV,BAJAJFINSV
BAJAJHLDNG,BAJAJHLDNG
BAJFINANCE,BAJFINANCE
BALAMINES,BALAMINES
BALKRISIND,BALKRISIND
BALMLAWRIE,BALMLAWRIE
BALRAMCHIN,BALRAMCHIN
BANDHANBNK,BANDHANBNK
BANKBARODA,BANKBARODA
BANKINDIA,BANKINDIA
BANKNIFTY24MARFUT,BANKNIFTYFUT
BASF,BASF
BATAINDIA,BATAINDIA
BAYERCROP,BAYERCROP
BBTC,BBTC
BCG,BCG
BDL,BDL
BEL,BEL
BEML,BEML
BERGEPAINT,BERGEPAINT
BHARATFORG,BHARATFORG
BHARATRAS,BHARATRAS
BHARTIARTL,BHARTIARTL
BHEL,BHEL
BIKAJI,BIKAJI
BIOCON,BIOCON
BIRLACORPN,BIRLACORPN
BLISSGVS,BLISSGVS
BLS,BLS
BLUEDART,BLUEDART
BLUESTARCO,BLUESTARCO
BOMDYEING,BOMDYEING
BORORENEW,BORORENEW
BOSCHLTD,BOSCHLTD
BPCL,BPCL
BRIGADE,BRIGADE
BRITANNIA,BRITANNIA
BSE,BSE
BSOFT,BSOFT
CAMPUS,CAMPUS
CAMS,CAMS
CANBK,CANBK
CANFINHOME,CANFINHOME
CAPLIPOINT,CAPLIPOINT
CARBORUNIV,CARBORUNIV
CARERATING,CARERATING
CASTROLIND,CASTROLIND
CCL,CCL
CDSL,CDSL
CEATLTD,CEATLTD
CENTRALBK,CENTRALBK
CENTURYPLY,CENTURYPLY
CENTURYTEX,CENTURYTEX
CERA,CERA
CESC,CESC
CGCL,CGCL
CGPOWER,CGPOWER
CHALET,CHALET
CHAMBLFERT,CHAMBLFERT
CHEMPLASTS,CHEMPLASTS
CHENNPETRO,CHENNPETRO
CHOLAFIN,CHOLAFIN
CHOLAHLDNG,CHOLAHLDNG
CIEINDIA,MAHINDCIE
CIPLA,CIPLA
CLEAN,CLEAN
COALINDIA,COALINDIA
COCHINSHIP,COCHINSHIP
COFORGE,COFORGE
COLPAL,COLPAL
CONCOR,CONCOR
CONCORDBIO,CONCORDBIO
COROMANDEL,COROMANDEL
CRAFTSMAN,CRAFTSMAN
CREDITACC,CREDITACC
CRISIL,CRISIL
CROMPTON,CROMPTON
CSBBANK,CSBBANK
CUB,CUB
CUMMINSIND,CUMMINSIND
CYIENT,CYIENT
DABUR,DABUR
